# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 90, mean observations per image: 636.57777777777778
1 -0.28683395623348046 -0.0068629363611084583 0.94419984045202021 0.16175859465986017 -4.86634116728984 -0.32029325966716687 -0.87717290120434788 1 1810.jpg
2 0.69981467679639409 0.013784663014363714 -0.70593018638130445 -0.1083142334210786 -3.3116132826526039 -1.0215223999783094 3.3360334473477598 6 1860.jpg
3 -0.46610915352418941 -0.0073088737418347391 0.8731178808028327 0.14266745805529718 -4.7925317023059959 -0.68011142615103282 1.2105994586542612 3 1830.jpg
4 0.55211534274085827 0.011479783369982132 -0.82310894792229672 -0.13239532746352087 -4.3724051921590137 -0.82532506988043786 1.9667832732852559 4 1840.jpg
5 0.63508879106777705 0.012920763649490711 -0.76288835666378185 -0.12040197919310885 -3.8719131703738663 -0.94817761186850791 2.806613541424309 5 1850.jpg
6 -0.36975400692328475 -0.0065512362061786638 0.91601052991093102 0.15544698376180138 -4.9214903298568817 -0.47891922177698182 0.1092510885266833 2 1820.jpg
7 0.75855926128790374 0.015765035261032383 -0.64437101361362381 -0.095526475869883068 -2.687787975154774 -1.0545573048813213 3.6992962207515037 7 1870.jpg
8 0.80865175164598058 0.016753615383613338 -0.5819226213834493 -0.084662409921288401 -2.1218914650146248 -1.0397694523430525 3.9475138244171921 8 1880.jpg
9 0.84389792182751344 0.016220901098954861 -0.53095935898747404 -0.075201988047873758 -1.6877671962049428 -1.0074135508700874 4.0774353030763626 9 1890.jpg
10 0.87357399762035681 0.015224451724779296 -0.48186413437512499 -0.066660653718517579 -1.3534742822504211 -0.97535769577464504 4.1623847018871505 10 1900.jpg
11 0.89951686510876194 0.01458892207339035 -0.4327429392834683 -0.058224747641759854 -1.0876760744167635 -0.91365624504974785 4.2278896547099665 11 1910.jpg
12 0.91931938371286093 0.014658238467593721 -0.3899345812391346 -0.050872675658879749 -0.84831902579678786 -0.85610354058134064 4.2818248508148962 12 1920.jpg
13 0.9357343921976502 0.015168535200868472 -0.3496894187955184 -0.043455416012356148 -0.64672853069630198 -0.82420588134926809 4.2735833424502037 13 1930.jpg
14 0.94906916069099279 0.014177927134479551 -0.31261364648198653 -0.036598123458716471 -0.51372497346002166 -0.7446049989711061 4.2064108734546446 14 1940.jpg
15 0.96360964641852076 0.0087926047310775725 -0.26570761929282211 -0.02790341342841644 -0.46179401731624725 -0.6265245932051916 4.068282902603289 16 1960.jpg
16 0.95822279443072045 0.013196905110740903 -0.28392925826202092 -0.031923255342430581 -0.43973230362154592 -0.67703650550410288 4.1468026335931762 15 1950.jpg
17 0.97326618125607378 0.0018896312936547005 -0.22860622056055435 -0.022103520937006634 -0.65708851763883536 -0.57385199398541109 3.9917578526026674 18 1980.jpg
18 0.96853421694518893 0.0058040693302110445 -0.24754633043080634 -0.025071850267217758 -0.55204947000501337 -0.60079258005554659 4.0016378852936585 17 1970.jpg
19 0.97690494938386319 -0.00034456442675140879 -0.21276538870870551 -0.01968477869576242 -0.72147741461418036 -0.56330705498414202 3.9434039480949878 19 1990.jpg
20 0.98201374990039048 -0.002660624217502947 -0.18817971222549698 -0.015176033476369841 -0.89216608449410784 -0.53627062637120382 3.7331203948143643 21 2010.jpg
21 0.97958750589633869 -0.0013142251623049939 -0.20028041524250451 -0.017156525706076554 -0.80847362127725553 -0.55692146234075046 3.8355876536882008 20 2000.jpg
22 0.98419431713124506 -0.0053833341409557549 -0.17644746208549289 -0.014101736193733548 -0.98963583012887657 -0.52250422606653368 3.6819803943852647 22 2020.jpg
23 0.98653267051061677 -0.0058254114980672046 -0.16296600443477191 -0.012705746520181924 -1.1449173896941172 -0.52922679656604277 3.6545758413809133 23 2030.jpg
24 0.9891168229203382 -0.0072472210701833017 -0.14657708735774644 -0.01051407934418816 -1.2925722782049727 -0.52245286693154935 3.6654405140003403 24 2040.jpg
25 0.99134413176535319 -0.0080831829696725276 -0.13075736269644223 -0.0086015503339728783 -1.3962632407356865 -0.52155674094474913 3.6509696004729553 25 2050.jpg
26 0.99315701704321324 -0.0078488097269540768 -0.11639755042520376 -0.0053986978716093334 -1.500424323691953 -0.51725240228332292 3.5647604331731486 26 2060.jpg
27 0.9951364904200396 -0.0080421486991333665 -0.098148608525304396 -0.0023537041730347301 -1.5526009802701402 -0.49274100149995298 3.5112631704119193 27 2070.jpg
28 0.99687221578087215 -0.0083573668701136684 -0.078574916783842055 0.001386461519406257 -1.5612832947983988 -0.48772586614747238 3.4698666563966416 28 2080.jpg
29 0.99848801920749108 -0.008226842744518072 -0.054035495500758826 0.0058446371611501746 -1.5771301326899057 -0.48423449446216937 3.433193660433481 29 2090.jpg
30 0.99953975412379681 -0.008119465450768415 -0.027286274937025182 0.010479189233651716 -1.5848286154967273 -0.47723032766707235 3.4228358034691229 30 2100.jpg
31 0.99985452051582613 -0.0077170443646065075 -0.0028892793319443832 0.014934426513404439 -1.5302864645174272 -0.4765112885413475 3.3919306344172901 31 2110.jpg
32 0.99909829655598703 -0.008529953184345582 0.034984026289841284 0.022493368403812455 -1.3734923073282159 -0.4418773572395211 3.1274347632252213 33 2130.jpg
33 0.99816548995763843 -0.0093621687379834145 0.054047226701870843 0.025630094420149092 -1.2736366456220847 -0.41148434931786737 3.0126765894122309 34 2140.jpg
34 0.99964636375923543 -0.0079317613173662642 0.016714142582438245 0.019101623571744969 -1.4649579468271492 -0.46756250956570644 3.2700763028596369 32 2120.jpg
35 0.99510841998511135 -0.0097293017165785076 0.093177175915544877 0.031346244611542153 -1.1227262212911007 -0.34897356147364722 2.6787893581001772 36 2160.jpg
36 0.99683413830020895 -0.0097085142342059217 0.073562382283868674 0.028566087995489837 -1.1907129660792832 -0.39049358873492279 2.8554042347485318 35 2150.jpg
37 0.99326618494092733 -0.011603679480335733 0.1102837356704765 0.033543078600176704 -1.0972865060235149 -0.30168805644325036 2.5345579346474443 37 2170.jpg
38 0.99176648145269097 -0.0152317488914974 0.12233027010400478 0.034677732176959034 -1.0989770163440407 -0.26118235224614589 2.3679386986012183 38 2180.jpg
39 0.99083261648933518 -0.017432519138171312 0.1293952365613483 0.034694468328944073 -1.1295593608911481 -0.21280725500607034 2.1373814120414649 39 2190.jpg
40 0.99036610301854677 -0.020122090452195086 0.13265601394203366 0.034241282579685756 -1.1695383119225111 -0.16534516000620469 1.9278607545088258 40 2200.jpg
41 0.98988834079381038 -0.026254339247740826 0.13593085905306895 0.030896342635278417 -1.3902464499012652 -0.10156203465366645 1.5371478928393703 42 2220.jpg
42 0.99008265095703984 -0.023688761986543301 0.13454769856146251 0.032742993773312093 -1.2543562771441985 -0.13877682084128801 1.7446858081124985 41 2210.jpg
43 0.98962735113352962 -0.030232701649878842 0.13724348969916417 0.029797888760426258 -1.5370324157825783 -0.056835266866981107 1.3431930260499092 43 2230.jpg
44 0.98929884606330476 -0.032054648836226406 0.13941828746837209 0.028685079487187078 -1.6753898239810305 -0.031376417113261244 1.1625085595698295 44 2240.jpg
45 0.99135748458694994 -0.040454371290886942 0.12270109704944704 0.022764498232037349 -2.1849570033344174 0.022942834415298121 0.20768576551845819 48 2280.jpg
46 0.99019365396638992 -0.03647572460912616 0.13230870251099219 0.026085559200183083 -1.9138929886822695 0.015451421091671002 0.66126731219665646 46 2260.jpg
47 0.98956060211426378 -0.034311325674320478 0.13720622098490043 0.027694775622295397 -1.800808856833896 -0.016732691704445399 0.89265457457247444 45 2250.jpg
48 0.9914899123030364 -0.040952736443905784 0.12155542238136442 0.022246493403713749 -2.3163219239812789 0.032081415319729377 0.0080225558980119797 49 2290.jpg
49 0.99086983893628078 -0.039709201102161022 0.12651975143622646 0.024349417461876834 -2.0376781768418777 0.024721416174598207 0.42500118896897576 47 2270.jpg
50 0.99151917481317864 -0.043310988182606439 0.12049554209357044 0.022242046129259851 -2.4143698005193182 0.013248830440712019 -0.23584691413430145 50 2300.jpg
51 0.99154958844676933 -0.042724397729466082 0.12058550628446574 0.02152150468289455 -2.5118376471485475 0.024937438752421087 -0.47856669765884202 51 2310.jpg
52 0.99123319945633503 -0.044198892164048126 0.12267837840616776 0.021288910227194438 -2.820930836516987 0.019435132912858252 -1.1463814131229637 54 2340.jpg
